data,rule,checked,violation_rate
cidds_wk2_attack_10k,128,True,0.02651222651222651
cidds_wk2_normal_10k,128,True,0.016473616473616472
cidds_wk2_attack_10k,256,True,0.01951039941100681
cidds_wk2_normal_10k,256,True,0.00966316951960243
cidds_wk2_attack_10k,512,True,0.019165822357311717
cidds_wk2_normal_10k,512,True,0.008865248226950355
cidds_wk2_attack_10k,1024,True,0.019165822357311717
cidds_wk2_normal_10k,1024,True,0.008865248226950355
cidds_wk2_attack_10k,2048,True,0.018668694036154756
cidds_wk2_normal_10k,2048,True,0.008869741510390269
cidds_wk2_attack_10k,4096,True,0.018754243041412086
cidds_wk2_normal_10k,4096,True,0.008910386965376781